Ano_0,Ano_1,Ano_2
1058.8466,1058.8466,1058.8466
1113.4298,1113.4298,1113.4298
1178.9644,1178.9644,1178.9644
1261.0419,1261.0419,1261.0419
1302.1288,1302.1288,1302.1288
1349.4954,1349.4954,1349.4954
1352.29,1352.29,1352.29
1440.2052,1440.2052,1440.2052
1411.4043,1411.4043,1411.4043
1391.9766,1391.9766,1391.9766
1400.707,1400.707,1400.707
1376.8766,1376.8766,1376.8766
1403.4587,1403.4587,1403.4587
1667.4279,1667.4279,1667.4279
1738.1276,1738.1276,1738.1276
1688.2122,1688.2122,1688.2122
1602.2308,1602.2308,1602.2308
1429.4694,1429.4694,1429.4694
1308.5198,1308.5198,1308.5198
1256.3423,1256.3423,1256.3423
1226.5204,1226.5204,1226.5204
1235.6312,1235.6312,1235.6312
1261.5967,1261.5967,1261.5967
1275.5154,1275.5154,1275.5154
1393.8829,1393.8829,1393.8829
1515.7662,1515.7662,1515.7662
1574.9929,1574.9929,1574.9929
1669.9982,1669.9982,1669.9982
1717.1288,1717.1288,1717.1288
1755.5458,1755.5458,1755.5458
1774.175,1774.175,1774.175
1863.0942,1863.0942,1863.0942
1824.0167,1824.0167,1824.0167
1779.2009,1779.2009,1779.2009
1788.4441,1788.4441,1788.4441
1676.3561,1676.3561,1676.3561
1652.6941,1652.6941,1652.6941
1910.3192,1910.3192,1910.3192
1999.2074,1999.2074,1999.2074
1902.3163,1902.3163,1902.3163
1835.3923,1835.3923,1835.3923
1480.1173,1480.1173,1480.1173
1382.2245,1382.2245,1382.2245
1301.9996,1301.9996,1301.9996
1224.7688,1224.7688,1224.7688
1201.7454,1201.7454,1201.7454
1186.6324,1186.6324,1186.6324
1156.4095,1156.4095,1156.4095
1153.0107,1153.0107,1153.0107
1202.1703,1202.1703,1202.1703
1260.3644,1260.3644,1260.3644
1338.5508,1338.5508,1338.5508
1407.7068,1407.7068,1407.7068
1463.7379,1463.7379,1463.7379
1496.8185,1496.8185,1496.8185
1476.902,1476.902,1476.902
1602.2634,1602.2634,1602.2634
1566.7921,1566.7921,1566.7921
1539.5524,1539.5524,1539.5524
1485.0364,1485.0364,1485.0364
1489.0544,1489.0544,1489.0544
1709.8917,1709.8917,1709.8917
1796.3909,1796.3909,1796.3909
1834.6719,1834.6719,1834.6719
1698.2555,1698.2555,1698.2555
1527.1409,1527.1409,1527.1409
1392.1189,1392.1189,1392.1189
1298.9862,1298.9862,1298.9862
1241.5554,1241.5554,1241.5554
1238.3934,1238.3934,1238.3934
1277.4629,1277.4629,1277.4629
1312.1237,1312.1237,1312.1237
1413.8192,1413.8192,1413.8192
1535.8342,1535.8342,1535.8342
1582.7852,1582.7852,1582.7852
1569.9303,1569.9303,1569.9303
1544.2224,1544.2224,1544.2224
1508.97,1508.97,1508.97
1517.0162,1517.0162,1517.0162
1520.1382,1520.1382,1520.1382
1542.5197,1542.5197,1542.5197
1530.7269,1530.7269,1530.7269
1501.4885,1501.4885,1501.4885
1474.1106,1474.1106,1474.1106
1458.0251,1458.0251,1458.0251
1619.2699,1619.2699,1619.2699
1619.0942,1619.0942,1619.0942
1549.7618,1549.7618,1549.7618
1461.0333,1461.0333,1461.0333
1285.291,1285.291,1285.291
1225.9188,1225.9188,1225.9188
1186.2021,1186.2021,1186.2021
1157.7439,1157.7439,1157.7439
1167.6833,1167.6833,1167.6833
1208.9828,1208.9828,1208.9828
1237.4441,1237.4441,1237.4441
1348.2266,1348.2266,1348.2266
1414.7076,1414.7076,1414.7076
1461.73,1461.73,1461.73
1506.1174,1506.1174,1506.1174
1554.0,1554.0,1554.0
1584.2692,1584.2692,1584.2692
1586.0399,1586.0399,1586.0399
1587.9006,1587.9006,1587.9006
1611.6394,1611.6394,1611.6394
1595.699,1595.699,1595.699
1572.5892,1572.5892,1572.5892
1543.2505,1543.2505,1543.2505
1550.7477,1550.7477,1550.7477
1733.9972,1733.9972,1733.9972
1718.5944,1718.5944,1718.5944
1669.91,1669.91,1669.91
1545.1497,1545.1497,1545.1497
1358.2527,1358.2527,1358.2527
